TABELA: DB2DPR.TRM
TS....: S1DPR001
========================================================================
:Todos os termos Natureza
BULLETIN BOARD SYSTEM         BBS  |N
BYTE                          BYTE |N
C                             C    |N
CACHE                         CACH |N
CAD INSC ENTIDADES FINANCEIRASCIEF |N
CADASTRADO                    CADD |N
CADASTRAL                     CADL |N
CADASTRAMENTO                 CADM |N
CADASTRANTE                   CADT |N
CADASTRAR                     CADR |N
CADASTRO                      CAD  |N
CADASTRO DE CHEQUES SEM FUNDOSCCF  |N
CADASTRO DE PESSOA FISICA          |N
CADASTRO EMITENTES CHQ S/FUNDOECF  |N
CADASTRO NAC PESSOAS JURIDICASCNPJ |N
CADEIA                             |N
CADEIA DE VALOR               CDVL |N
CADERNO                       CDRN |N
CAFE                          CAFE |N
CAIXA                         CX   |N
CAIXA ALTA                    CXAT |N
CAIXA BAIXA                   CXBX |N
CAIXA ECONOMICA FEDERAL       CEF  |N
CAIXA POSTAL                  CXPT |N
CALCULADO                     CLCD |N
CALCULO                       CLC  |N
CALENDARIO                    CLDR |N
CAMA                          CAMA |N
CAMARA                        CMRA |N
CAMARA DE COMPENSACAO         CCMP |N
CAMARA INTERBANCARIA DE PAGTOSCIP  |N
CAMBIAL                       CMBL |N
CAMBIO                        CMB  |N
CAMINHAO                      CMNH |N
CAMINHO                            |N
CAMPANHA                      CMH  |N
CAMPO                         CMP  |N
CANAL                         CNL  |N
CANCELADO                     CNCD |N
CANCELAMENTO                  CNCT |N
CANCELAR                      CNCR |N
CANDIDATO                     CDDT |N
CANDIDATURA                   CDDR |N
CANTEIRO                      CNRO |N
CAPACIDADE                    CPDD |N
CAPITAL                       CPTL |N
CAPITAL DE GIRO               CPGR |N
CAPITALIZACAO                 CPTZ |N
CAPITALIZADO                  CPTI |N
CAPITALIZAR                   CPZR |N
CAPITULO                      CPLO |N
CAPOEIRA                      CPRA |N
CAPRINOCULTURA                CPRC |N
CAPTACAO                      CAPC |N
CAPTADOR                      CAPR |N
CAPTAR                        CAP  |N
CAPTURA                       CPTR |N
CAPTURADO                     CPTD |N
CARACTERE                     CCT  |N
CARACTERISTICA                CRCT |N
CARATER                       CART |N
CARCINICULTURA                CARC |N
CARDINALIDADE                      |N
CARENCIA                      CARE |N
CARGA                         CRGA |N
CARGA DINAMICA                CGDN |N
CARGA HORARIA                 CGHR |N
CARGO                         CRG  |N
CARNE                         CARN |N
CARREGADO                     CRGO |N
CARREIRA                      CARR |N
CARROCERIA                    COC  |N
CARTA                         CRTA |N
CARTA DE CREDITO              CCRD |N
CARTAO                        CRT  |N
CARTAZ                        CRZ  |N
CARTEIRA                      CTRA |N
CARTEIRA DE IDENTIDADE             |N
CARTEIRA DE TRABALHO          CTPS |N
CARTEIRA LIVRO MERC CAPITAIS  CLMC |N
CARTEIRA MERCADO DE CAPITAIS  CMCP |N
CARTORIO                      CRTO |N
CARTORIO DE REGISTRO DE IMOVELCRIM |N
CARTUCHO                      CTCH |N
CASA DECIMAL                  CDEC |N
CASCO                         CSCO |N
CASO DE TESTE                 CTST |N
CASO DE USO                   CUSO |N
CASUAL                             |N
CATALOGACAO                   CATC |N
CATALOGO                      CAT  |N
CATEGORIA                     CTGR |N
CAUCAO                        CAUC |N
CAUSA                         CAS  |N
CAUSADOR                      CASD |N
CAUTELA                            |N
CBLC                               |N
CCU                           CCU  |N
CDC                                |N
CDI                                |N
CEDENTE                       CDT  |N
CEDIDO                        CDD  |N
CEDULA                        CDL  |N
CEDULA DE CREDITO             CDLC |N
CEDULA DE IDENTIDADE               |N
CELEBRACAO                    CLB  |N
CELEBRADO                     CLBD |N
CELEBRADOR                    CLBR |N
CELEBRAR                      CLRR |N
CELULA                        CEL  |N
CELULAR                       CELR |N
CENARIO                       CNR  |N
CENTENA                       CTNA |N
CENTESIMO DE SEGUNDO          CTSG |N
CENTRAL                       CNTR |N
CENTRAL DE ATENDIMENTO        CEAT |N
CENTRALIZADO                  CTZD |N
CENTRALIZADOR                 CTZR |N
CENTRO                        CEN  |N
CENTRO PROCESSADOR            CTP  |N
CENTROIDE                     CEND |N
CEP                           CEP  |N
